0.0; 0.0, 1.0, 0.0
0.1; 0.0998334166468, 0.995004165278, 0.001
0.2; 0.198669330795, 0.980066577841, 0.008
0.3; 0.295520206661, 0.955336489126, 0.027
0.4; 0.389418342309, 0.921060994003, 0.064
0.5; 0.479425538604, 0.87758256189, 0.125
0.6; 0.564642473395, 0.82533561491, 0.216
0.7; 0.644217687238, 0.764842187284, 0.343
0.8; 0.7173560909, 0.696706709347, 0.512
0.9; 0.783326909627, 0.621609968271, 0.729
1.0; 0.841470984808, 0.540302305868, 1.0
1.1; 0.891207360061, 0.453596121426, 1.331
1.2; 0.932039085967, 0.362357754477, 1.728
1.3; 0.963558185417, 0.267498828625, 2.197
1.4; 0.985449729988, 0.1699671429, 2.744
1.5; 0.997494986604, 0.0707372016677, 3.375
1.6; 0.999573603042, -0.0291995223013, 4.096
1.7; 0.991664810452, -0.128844494296, 4.913
1.8; 0.973847630878, -0.227202094693, 5.832
1.9; 0.946300087687, -0.323289566864, 6.859
2.0; 0.909297426826, -0.416146836547, 8.0
2.1; 0.863209366649, -0.5048461046, 9.261
2.2; 0.80849640382, -0.588501117255, 10.648
2.3; 0.745705212177, -0.66627602128, 12.167
2.4; 0.675463180551, -0.737393715541, 13.824
2.5; 0.598472144104, -0.801143615547, 15.625
2.6; 0.515501371821, -0.856888753369, 17.576
2.7; 0.427379880234, -0.904072142017, 19.683
2.8; 0.334988150156, -0.942222340669, 21.952
2.9; 0.239249329214, -0.97095816515, 24.389
3.0; 0.14112000806, -0.9899924966, 27.0
3.1; 0.0415806624333, -0.999135150273, 29.791
3.2; -0.0583741434276, -0.998294775795, 32.768
3.3; -0.157745694143, -0.987479769909, 35.937
3.4; -0.255541102027, -0.966798192579, 39.304
3.5; -0.35078322769, -0.936456687291, 42.875
3.6; -0.442520443295, -0.896758416334, 46.656
3.7; -0.529836140908, -0.84810003171, 50.653
3.8; -0.611857890943, -0.790967711914, 54.872
3.9; -0.687766159184, -0.7259323042, 59.319
4.0; -0.756802495308, -0.653643620864, 64.0
4.1; -0.818277111064, -0.574823946533, 68.921
4.2; -0.871575772414, -0.490260821341, 74.088
4.3; -0.916165936749, -0.40079917208, 79.507
4.4; -0.95160207389, -0.307332869978, 85.184
4.5; -0.977530117665, -0.210795799431, 91.125
4.6; -0.993691003633, -0.112152526935, 97.336
4.7; -0.999923257564, -0.0123886634629, 103.823
4.8; -0.996164608836, 0.0874989834394, 110.592
4.9; -0.982452612624, 0.186512369423, 117.649
5.0; -0.958924274663, 0.283662185463, 125.0
5.1; -0.925814682328, 0.377977742713, 132.651
5.2; -0.88345465572, 0.4685166713, 140.608
5.3; -0.832267442224, 0.554374336179, 148.877
5.4; -0.772764487556, 0.634692875943, 157.464
5.5; -0.70554032557, 0.708669774291, 166.375
5.6; -0.631266637872, 0.77556587851, 175.616
5.7; -0.550685542598, 0.834712784839, 185.193
5.8; -0.464602179414, 0.885519516941, 195.112
5.9; -0.37387666483, 0.927478430744, 205.379
6.0; -0.279415498199, 0.96017028665, 216.0
6.1; -0.182162504272, 0.983268438443, 226.981
6.2; -0.0830894028175, 0.996542097023, 238.328
